[Header]
Recipe;HDI
Name;HDI
Description;- serial EOL recipe for Hyundai
Date Time;26.03.2026 13:03:05
SDM - Hold Current [mA];3000
SDM - Pull Current [mA];12000
SDM - PullIn Time [us];1400
SDM - Boost Time [us];1400
Cycle;300
Range [ms];4000
Stabilization [ms];10000
Pressure In Dev [Bar];0.003
Pressure Out Dev [Bar];0.003
Error - Status/Code/Source;0;0;

[Conditions]
Pressure Atm S10 [bar];1.013
Temperature S9 [C];22.927
Temperature Gas S11 [C];21.813
Temperature Gas S12 [C];22.504

[Results]
Step;Time;Pressure In;Pressure Out;Speed;Opening Time;Aeff Min;Aeff Max;Aeff Mean;Pressure S3 Mean; Pressure S4 Mean;Flow Mean;Aeff StdDev Max;Aeff StdDev;Pressure S3 StdDev;Pressure S4 StdDev;Flow StdDev;Range
;[s];[Bara];[Bara];[rpm];[ms];[mm2];[mm2];[mm2];[Bara];[Bara];[m3/h];[mm2];[mm2];[Bar];[Bar];[m3/h];
1;6.6;15.000;0.000;12.084;10.313;1.152;5.877
1;6.7;15.000;0.000;12.079;10.300;1.156;5.867
1;6.8;15.000;0.000;12.081;10.286;1.155;5.860
1;6.9;15.000;0.000;12.079;10.273;1.155;5.851
1;7.0;15.000;0.000;12.080;10.257;1.152;5.843
1;7.1;15.000;0.000;12.080;10.240;1.151;5.833
1;7.2;15.000;0.000;12.078;10.227;1.154;5.825
1;7.3;15.000;0.000;12.081;10.210;1.154;5.817
1;7.4;15.000;0.000;12.080;10.200;1.154;5.811
1;7.5;15.000;0.000;12.083;10.185;1.151;5.803
1;7.6;15.000;0.000;12.084;10.168;1.149;5.794
1;7.7;15.000;0.000;12.085;10.155;1.153;5.787
1;7.8;15.000;0.000;12.089;10.141;1.152;5.781
1;7.9;15.000;0.000;12.094;10.121;1.149;5.772
1;8.0;15.000;0.000;12.093;10.113;1.149;5.767
1;8.1;15.000;0.000;12.097;10.096;1.148;5.760
1;8.2;15.000;0.000;12.095;10.083;1.151;5.751
1;8.3;15.000;0.000;12.100;10.067;1.151;5.744
1;8.4;15.000;0.000;12.099;10.057;1.151;5.738
1;8.5;15.000;0.000;12.102;10.036;1.146;5.728
1;8.6;15.000;0.000;12.105;10.025;1.146;5.723
1;8.7;15.000;0.000;12.102;10.012;1.149;5.714
1;8.8;15.000;0.000;12.105;9.996;1.149;5.706
1;8.9;15.000;0.000;12.108;9.979;1.145;5.698
1;9.0;15.000;0.000;12.107;9.967;1.144;5.690
1;9.1;15.000;0.000;12.107;9.950;1.147;5.681
1;9.2;15.000;0.000;12.104;9.942;1.147;5.675
1;9.3;15.000;0.000;12.106;9.929;1.146;5.668
1;9.4;15.000;0.000;12.105;9.917;1.147;5.661
1;9.5;15.000;0.000;12.106;9.902;1.143;5.653
1;9.6;15.000;0.000;12.109;9.887;1.142;5.646
1;9.7;15.000;0.000;12.104;9.875;1.145;5.637
1;9.8;15.000;0.000;12.106;9.863;1.145;5.631
1;9.9;15.000;0.000;12.104;9.847;1.141;5.621
1;10.0;15.000;0.000;12.106;9.835;1.141;5.615
1;10.1;15.000;0.000;12.106;9.824;1.141;5.609
1;10.2;15.000;0.000;12.100;9.813;1.144;5.600
1;10.3;15.000;0.000;12.101;9.799;1.144;5.592
1;10.4;15.000;0.000;12.102;9.785;1.140;5.584
1;10.5;15.000;0.000;12.099;9.774;1.140;5.577
1;10.6;15.000;0.000;12.099;9.763;1.140;5.571
1;10.7;15.000;0.000;12.098;9.752;1.139;5.563
1;10.8;15.000;0.000;12.095;9.738;1.143;5.554
1;10.9;15.000;0.000;12.097;9.723;1.139;5.547
1;11.0;15.000;0.000;12.094;9.712;1.138;5.539
1;11.1;15.000;0.000;12.093;9.698;1.141;5.530
1;11.2;15.000;0.000;12.093;9.684;1.141;5.523
1;11.3;15.000;0.000;12.091;9.676;1.141;5.517
1;11.4;15.000;0.000;12.093;9.661;1.138;5.510
1;11.5;15.000;0.000;12.089;9.655;1.138;5.504
1;11.6;15.000;0.000;12.090;9.637;1.140;5.494
1;11.7;15.000;0.000;12.086;9.631;1.140;5.489
1;11.8;15.000;0.000;12.087;9.620;1.139;5.483
1;11.9;15.000;0.000;12.087;9.604;1.136;5.474
1;12.0;15.000;0.000;12.081;9.595;1.135;5.466
1;12.1;15.000;0.000;12.079;9.587;1.135;5.461
1;12.2;15.000;0.000;12.078;9.577;1.135;5.455
1;12.3;15.000;0.000;12.073;9.567;1.138;5.447
1;12.4;15.000;0.000;12.068;9.562;1.138;5.441
1;12.5;15.000;0.000;12.065;9.550;1.134;5.434
1;12.6;15.000;0.000;12.059;9.544;1.134;5.427
1;12.7;15.000;0.000;12.052;9.538;1.137;5.421
1;12.8;15.000;0.000;12.050;9.531;1.136;5.416
1;12.9;15.000;0.000;12.040;9.524;1.133;5.407
1;13.0;15.000;0.000;12.035;9.517;1.133;5.401
1;13.1;15.000;0.000;12.034;9.512;1.133;5.398
1;13.2;15.000;0.000;12.026;9.508;1.133;5.392
1;13.3;15.000;0.000;12.017;9.503;1.136;5.385
1;13.4;15.000;0.000;12.010;9.501;1.136;5.381
1;13.5;15.000;0.000;12.005;9.496;1.133;5.376
1;13.6;15.000;0.000;12.000;9.490;1.133;5.370
1;13.7;15.000;0.000;11.993;9.488;1.132;5.365
1;13.8;15.000;0.000;11.985;9.485;1.135;5.361
1;13.9;15.000;0.000;11.980;9.479;1.133;5.355
1;14.0;15.000;0.000;11.972;9.478;1.132;5.351
1;14.1;15.000;0.000;11.968;9.475;1.132;5.347
1;14.2;15.000;0.000;11.960;9.474;1.132;5.343
1;14.3;15.000;0.000;11.952;9.472;1.136;5.338
1;14.4;15.000;0.000;11.949;9.467;1.132;5.335
1;14.5;15.000;0.000;11.942;9.467;1.132;5.332
1;14.6;15.000;0.000;11.939;9.465;1.132;5.329
1;14.7;15.000;0.000;11.934;9.464;1.132;5.326
1;14.8;15.000;0.000;11.928;9.463;1.135;5.323
1;14.9;15.000;0.000;11.926;9.459;1.132;5.320
1;15.0;15.000;0.000;11.920;9.461;1.132;5.318
1;15.1;15.000;0.000;11.916;9.459;1.135;5.315
1;15.2;15.000;0.000;11.914;9.457;1.131;5.313
1;15.3;15.000;0.000;11.909;9.457;1.135;5.311
1;15.4;15.000;0.000;11.909;9.453;1.132;5.309
1;15.5;15.000;0.000;11.904;9.455;1.132;5.308
1;15.6;15.000;0.000;11.904;9.452;1.131;5.306
1;15.7;15.000;0.000;11.902;9.451;1.135;5.304
1;15.8;15.000;0.000;11.899;9.452;1.135;5.304
1;15.9;15.000;0.000;11.900;9.449;1.131;5.302
1;16.0;15.000;0.000;11.897;9.450;1.131;5.301
1;16.1;15.000;0.000;11.897;9.448;1.131;5.301
1;16.2;15.000;0.000;11.892;9.451;1.134;5.300
1;16.3;15.000;0.000;11.893;9.448;1.134;5.299
1;16.4;15.000;0.000;11.890;9.449;1.134;5.298
1;16.5;15.000;0.000;11.892;9.446;1.131;5.297
1;16.6;15.000;0.000;11.891;9.445;1.134;5.296
1;16.7;15.000;0.000;11.887;9.448;1.134;5.296
1;16.8;15.000;0.000;11.889;9.445;1.134;5.295
1;16.9;15.000;0.000;11.887;9.446;1.134;5.295
1;17.0;15.000;0.000;11.889;9.443;1.130;5.294
1;17.1;15.000;0.000;11.886;9.444;1.130;5.294
1;17.2;15.000;0.000;11.888;9.442;1.130;5.293
1;17.3;15.000;0.000;11.885;9.442;1.134;5.292
1;17.4;15.000;0.000;11.887;9.440;1.130;5.291
1;17.5;15.000;0.000;11.884;9.441;1.130;5.291
1;17.6;15.000;0.000;11.885;9.439;1.130;5.290
1;17.7;15.000;0.000;11.880;9.442;1.133;5.290
1;17.8;15.000;0.000;11.882;9.440;1.130;5.289
1;17.9;15.000;0.000;11.879;9.441;1.134;5.289
1;18.0;15.000;0.000;11.881;9.438;1.130;5.288
1;18.1;15.000;0.000;11.882;9.437;1.130;5.288
1;18.2;15.000;0.000;11.877;9.440;1.134;5.287
1;18.3;15.000;0.000;11.878;9.437;1.134;5.286
1;18.4;15.000;0.000;11.876;9.438;1.130;5.286
1;18.5;15.000;0.000;11.877;9.437;1.131;5.285
1;18.6;15.000;0.000;11.879;9.434;1.130;5.285
1;18.7;15.000;0.000;11.877;9.435;1.130;5.284
1;18.8;15.000;0.000;11.874;9.435;1.133;5.283
1;18.9;15.000;0.000;11.876;9.432;1.130;5.282
1;19.0;15.000;0.000;11.872;9.433;1.130;5.281
1;19.1;15.000;0.000;11.869;9.434;1.130;5.280
1;19.2;15.000;0.000;11.870;9.432;1.129;5.280
1;19.3;15.000;0.000;11.867;9.432;1.133;5.278
1;19.4;15.000;0.000;11.863;9.433;1.129;5.277
1;19.5;15.000;0.000;11.865;9.431;1.129;5.277
1;19.6;15.000;0.000;11.865;9.430;1.129;5.276
1;19.7;15.000;0.000;11.864;9.430;1.129;5.276
1;19.8;15.000;0.000;11.862;9.431;1.132;5.275
1;19.9;15.000;0.000;11.860;9.431;1.133;5.275
1;20.0;15.000;0.000;11.861;9.430;1.130;5.274
1;20.1;15.000;0.000;11.860;9.430;1.129;5.274
1;20.2;15.000;0.000;11.859;9.430;1.132;5.274
1;20.3;15.000;0.000;11.861;9.428;1.133;5.273
1;20.4;15.000;0.000;11.859;9.429;1.133;5.273
1;20.5;15.000;0.000;11.860;9.428;1.130;5.273
1;20.6;15.000;0.000;11.860;9.428;1.129;5.273
1;20.7;15.000;0.000;11.863;9.426;1.129;5.273
1;20.8;15.000;0.000;11.861;9.426;1.132;5.272
1;20.9;15.000;0.000;11.863;9.424;1.129;5.272
1;21.0;15.000;0.000;11.860;9.426;1.130;5.272
1;21.1;15.000;0.000;11.860;9.425;1.132;5.271
1;21.2;15.000;0.000;11.857;9.427;1.132;5.271
1;21.3;15.000;0.000;11.859;9.425;1.133;5.271
1;21.4;15.000;0.000;11.862;9.423;1.129;5.271
1;21.5;15.000;0.000;11.859;9.425;1.129;5.271
1;21.6;15.000;0.000;11.858;9.425;1.129;5.270
1;21.7;15.000;0.000;11.856;9.426;1.133;5.270
1;21.8;15.000;0.000;11.859;9.424;1.133;5.270
1;21.9;15.000;0.000;11.861;9.421;1.130;5.270
1;22.0;15.000;0.000;11.858;9.424;1.130;5.269
1;22.1;15.000;0.000;11.860;9.422;1.129;5.269
1;22.2;15.000;0.000;11.856;9.425;1.133;5.269
1;22.3;15.000;0.000;11.858;9.423;1.132;5.269
1;22.4;15.000;0.000;11.860;9.420;1.130;5.269
1;22.5;15.000;0.000;11.858;9.422;1.129;5.268
1;22.6;15.000;0.000;11.859;9.421;1.129;5.268
1;22.7;15.000;0.000;11.858;9.421;1.133;5.268
1;22.8;15.000;0.000;11.856;9.422;1.133;5.268
1;22.9;15.000;0.000;11.854;9.423;1.132;5.268
1;23.0;15.000;0.000;11.856;9.421;1.129;5.267
1;23.1;15.000;0.000;11.858;9.420;1.129;5.267
1;23.2;15.000;0.000;11.856;9.420;1.129;5.267
1;23.3;15.000;0.000;11.854;9.421;1.132;5.267
1;23.4;15.000;0.000;11.852;9.422;1.132;5.266
1;23.5;15.000;0.000;11.853;9.421;1.130;5.266
1;23.6;15.000;0.000;11.854;9.419;1.132;5.266
1;23.7;15.000;0.000;11.854;9.419;1.129;5.265
1;23.8;15.000;0.000;11.853;9.419;1.129;5.265
1;23.9;15.000;0.000;11.850;9.421;1.132;5.265
1;24.0;15.000;0.000;11.853;9.418;1.129;5.264
1;24.1;15.000;0.000;11.850;9.420;1.129;5.264
1;24.2;15.000;0.000;11.849;9.420;1.132;5.264
1;24.3;15.000;0.000;11.851;9.418;1.133;5.263
1;24.4;15.000;0.000;11.848;9.420;1.129;5.263
1;24.5;15.000;0.000;11.851;9.417;1.129;5.263
1;24.6;15.000;0.000;11.849;9.419;1.128;5.263
1;24.7;15.000;0.000;11.851;9.417;1.128;5.262
1;24.8;15.000;0.000;11.849;9.417;1.132;5.262
1;24.9;15.000;0.000;11.851;9.415;1.129;5.262
2;0.0;10.000;0.000;11.858;9.406;1.129;5.260
2;0.1;10.000;0.000;11.855;9.407;1.129;5.259
2;0.2;10.000;0.000;11.856;9.405;1.133;5.258
2;0.3;10.000;0.000;11.852;9.407;1.129;5.258
2;0.4;10.000;0.000;11.856;9.403;1.130;5.257
2;0.5;10.000;0.000;11.851;9.406;1.129;5.257
2;0.6;10.000;0.000;11.853;9.405;1.133;5.257
2;0.7;10.000;0.000;11.849;9.408;1.130;5.257
2;0.8;10.000;0.000;11.852;9.405;1.130;5.257
2;0.9;10.000;0.000;11.855;9.403;1.130;5.257
2;1.0;10.000;0.000;11.856;9.403;1.133;5.257
2;1.1;10.000;0.000;11.853;9.405;1.133;5.257
2;1.2;10.000;0.000;11.854;9.404;1.133;5.257
2;1.3;10.000;0.000;11.852;9.406;1.129;5.257
2;1.4;10.000;0.000;11.856;9.402;1.130;5.257
2;1.5;10.000;0.000;11.852;9.405;1.129;5.257
2;1.6;10.000;0.000;11.851;9.406;1.132;5.257
2;1.7;10.000;0.000;11.855;9.403;1.132;5.257
2;1.8;10.000;0.000;11.852;9.404;1.129;5.256
2;1.9;10.000;0.000;11.850;9.406;1.128;5.256
2;2.0;10.000;0.000;11.851;9.405;1.128;5.256
2;2.1;10.000;0.000;11.849;9.406;1.131;5.255
2;2.2;10.000;0.000;11.852;9.403;1.132;5.255
2;2.3;10.000;0.000;11.849;9.405;1.128;5.255
2;2.4;10.000;0.000;11.854;9.401;1.129;5.255
2;2.5;10.000;0.000;11.850;9.404;1.128;5.255
2;2.6;10.000;0.000;11.849;9.404;1.128;5.255
2;2.7;10.000;0.000;11.847;9.406;1.128;5.255
2;2.8;10.000;0.000;11.849;9.404;1.128;5.255
2;2.9;10.000;0.000;11.848;9.405;1.129;5.255
2;3.0;10.000;0.000;11.850;9.404;1.128;5.255
2;3.1;10.000;0.000;11.849;9.405;1.131;5.255
2;3.2;10.000;0.000;11.848;9.405;1.129;5.255
