Time;Leakrate;PS-He2;PS-V1;PS-V2;PS-V3;EV-He1;EV-He2;
[s];[1.0E-09];[Bar];[mBar];[mBar];[mBar];-;-;
11.2;0.3531134;0.002;0.024;0.003;0.001;0;0;
11.4;0.3633688;0.002;0.024;0.003;0.001;0;0;
11.6;0.3686444;0.007;0.023;0.003;0.001;0;0;
11.8;0.3718594;0.002;0.023;0.003;0.001;0;0;
12.0;0.3743496;0.011;0.023;0.002;0.001;0;0;
12.2;0.3768826;0.009;0.023;0.002;0.001;0;0;
12.4;0.3826814;0.004;0.023;0.002;0.001;1;0;
12.6;0.391482;13.913;0.022;0.002;0.001;1;0;
12.8;0.4005157;15.013;0.022;0.002;0.001;1;0;
13.0;0.4075747;15.158;0.021;0.002;0.001;1;0;
13.2;0.4115149;15.206;0.021;0.002;0.001;1;0;
13.4;0.4143761;15.234;0.021;0.002;0.001;1;0;
13.6;0.4169208;15.252;0.021;0.002;0.001;1;0;
13.8;0.4203803;15.269;0.020;0.002;0.001;1;0;
14.0;0.4263071;15.278;0.020;0.002;0.001;1;0;
14.2;0.4333626;15.286;0.020;0.002;0.001;1;0;
14.4;0.4379672;15.289;0.020;0.002;0.001;1;0;
14.6;0.440416;15.295;0.019;0.002;0.001;1;0;
14.8;0.4427688;15.304;0.019;0.002;0.001;1;0;
15.0;0.4451991;15.308;0.019;0.002;0.001;1;0;
15.2;0.4497367;15.308;0.019;0.002;0.001;1;0;
15.4;0.45768;15.310;0.019;0.002;0.001;1;0;
15.6;0.4669467;15.319;0.019;0.002;0.001;1;0;
15.8;0.471309;15.321;0.019;0.002;0.001;1;0;
16.0;0.4743493;15.321;0.018;0.002;0.001;1;0;
16.2;0.4764699;15.328;0.018;0.002;0.001;1;0;
16.4;0.4788735;15.328;0.018;0.002;0.001;1;0;
16.6;0.4823713;15.326;0.018;0.002;0.001;1;0;
16.8;0.4894896;15.328;0.018;0.002;0.001;1;0;
17.0;0.4990757;15.336;0.018;0.002;0.001;1;0;
17.2;0.5051855;15.339;0.018;0.002;0.001;1;0;
17.4;0.5080038;15.339;0.018;0.002;0.001;1;0;
17.6;0.5102058;15.343;0.018;0.002;0.001;1;0;
17.8;0.512591;15.343;0.017;0.002;0.001;1;0;
18.0;0.5153005;15.343;0.017;0.002;0.001;1;0;
18.2;0.5185059;15.343;0.017;0.002;0.001;0;0;
18.4;0.5269639;15.341;0.017;0.002;0.001;0;0;
18.6;0.5359111;15.343;0.017;0.002;0.001;0;0;
18.8;0.539959;15.339;0.017;0.002;0.001;0;0;
19.0;0.5421358;15.339;0.017;0.002;0.001;0;0;
19.2;0.5442116;15.341;0.017;0.002;0.001;0;0;
19.4;0.5473837;15.341;0.017;0.002;0.001;0;0;
19.6;0.5502854;15.339;0.017;0.002;0.001;0;0;
19.8;0.5598179;15.339;0.017;0.002;0.001;0;0;
20.0;0.5681291;15.339;0.017;0.002;0.001;0;0;
20.2;0.5719948;15.339;0.016;0.002;0.001;0;0;
20.4;0.5746218;15.336;0.016;0.002;0.001;0;0;
20.6;0.5770444;15.339;0.016;0.002;0.001;0;0;
20.8;0.5794547;15.336;0.016;0.002;0.001;0;0;
21.0;0.5827934;15.339;0.016;0.002;0.001;0;0;
21.2;0.5873462;15.339;0.016;0.002;0.001;0;0;
21.4;0.593371;15.339;0.016;0.002;0.001;0;0;
21.6;0.5970926;15.339;0.016;0.002;0.001;0;0;
21.8;0.5995147;15.336;0.016;0.002;0.001;0;0;
