Time;Leakrate;PS-He2;PS-V1;PS-V2;PS-V3;EV-He1;EV-He2;
[s];[1.0E-09];[Bar];[mBar];[mBar];[mBar];-;-;
11.6;0.3922689;0.007;0.023;0.002;0.001;0;0;
11.8;0.4034697;0.007;0.022;0.002;0.001;0;0;
12.0;0.4122131;0.007;0.022;0.002;0.001;0;0;
12.2;0.4175525;0.004;0.022;0.002;0.001;0;0;
12.4;0.4213941;0.002;0.022;0.002;0.001;1;0;
12.6;0.4239142;14.173;0.021;0.002;0.001;1;0;
12.8;0.4261868;15.102;0.021;0.002;0.001;1;0;
13.0;0.429274;15.169;0.021;0.002;0.001;1;0;
13.2;0.4372568;15.217;0.020;0.002;0.001;1;0;
13.4;0.4481173;15.237;0.020;0.002;0.001;1;0;
13.6;0.4567155;15.252;0.020;0.002;0.001;1;0;
13.8;0.4595339;15.271;0.020;0.002;0.001;1;0;
14.0;0.4623612;15.278;0.019;0.002;0.001;1;0;
14.2;0.4653029;15.286;0.019;0.002;0.001;1;0;
14.4;0.4691344;15.291;0.019;0.002;0.001;1;0;
14.6;0.4749449;15.295;0.019;0.002;0.001;1;0;
14.8;0.4808877;15.306;0.019;0.002;0.001;1;0;
15.0;0.4840224;15.310;0.018;0.002;0.001;1;0;
15.2;0.4873858;15.315;0.018;0.002;0.001;1;0;
15.4;0.4903676;15.313;0.018;0.002;0.001;1;0;
15.6;0.4934452;15.319;0.018;0.002;0.001;1;0;
15.8;0.4980832;15.326;0.018;0.002;0.001;1;0;
16.0;0.5045606;15.323;0.018;0.002;0.001;1;0;
16.2;0.5154566;15.328;0.018;0.002;0.001;1;0;
16.4;0.5274991;15.328;0.018;0.002;0.001;1;0;
16.6;0.5326791;15.334;0.017;0.002;0.001;1;0;
16.8;0.5358164;15.336;0.017;0.002;0.001;1;0;
17.0;0.5387413;15.336;0.017;0.002;0.001;1;0;
17.2;0.5421385;15.339;0.017;0.002;0.001;1;0;
17.4;0.5473464;15.339;0.017;0.002;0.001;1;0;
17.6;0.5546266;15.339;0.017;0.002;0.001;1;0;
17.8;0.5601166;15.343;0.017;0.002;0.001;1;0;
18.0;0.5631791;15.347;0.017;0.002;0.001;1;0;
18.2;0.5660702;15.352;0.017;0.002;0.001;0;0;
18.4;0.5689374;15.345;0.017;0.002;0.001;0;0;
18.6;0.5714082;15.341;0.017;0.002;0.001;0;0;
18.8;0.5753957;15.341;0.016;0.002;0.001;0;0;
19.0;0.5831142;15.339;0.016;0.002;0.001;0;0;
19.2;0.5924658;15.339;0.016;0.002;0.001;0;0;
19.4;0.5969923;15.339;0.016;0.002;0.001;0;0;
19.6;0.6002152;15.339;0.016;0.002;0.001;0;0;
19.8;0.603119;15.343;0.016;0.002;0.001;0;0;
20.0;0.6072382;15.339;0.016;0.002;0.001;0;0;
20.2;0.6118463;15.343;0.016;0.002;0.001;0;0;
20.4;0.6148809;15.339;0.016;0.002;0.001;0;0;
20.6;0.6176671;15.339;0.016;0.002;0.001;0;0;
20.8;0.6206602;15.339;0.016;0.002;0.001;0;0;
21.0;0.6232863;15.339;0.016;0.002;0.001;0;0;
21.2;0.6251968;15.339;0.015;0.002;0.001;0;0;
21.4;0.6265951;15.336;0.015;0.002;0.001;0;0;
21.6;0.6276227;15.339;0.015;0.002;0.001;0;0;
21.8;0.6308234;15.339;0.015;0.002;0.001;0;0;
22.0;0.6372221;15.339;0.015;0.002;0.001;0;0;
22.2;0.6430353;15.339;0.015;0.002;0.001;0;0;
22.4;0.6474522;15.339;0.015;0.002;0.001;0;0;
22.6;0.6502157;15.339;0.015;0.002;0.001;0;0;
22.8;0.6523108;15.339;0.015;0.002;0.001;0;0;
23.0;0.6539612;15.339;0.015;0.002;0.001;0;0;
23.2;0.6569664;15.339;0.015;0.002;0.001;0;0;
23.4;0.6630193;15.339;0.015;0.002;0.001;0;0;
23.6;0.6697757;15.339;0.015;0.002;0.001;0;0;
23.8;0.672419;15.339;0.015;0.002;0.001;0;0;
24.0;0.6737629;15.336;0.015;0.002;0.001;0;0;
24.2;0.6753016;15.336;0.015;0.002;0.001;0;0;
24.4;0.6771221;15.336;0.014;0.002;0.001;0;0;
24.6;0.6805301;15.336;0.014;0.002;0.001;0;0;
24.8;0.6862593;15.336;0.014;0.002;0.001;0;0;
25.0;0.6951578;15.334;0.014;0.002;0.001;0;0;
25.2;0.6991943;15.339;0.014;0.002;0.001;0;0;
25.4;0.7013159;15.339;0.014;0.002;0.001;0;0;
25.6;0.7028817;15.334;0.014;0.002;0.001;0;0;
25.8;0.7053526;15.336;0.014;0.002;0.001;0;0;
26.0;0.7100816;15.336;0.014;0.002;0.001;0;0;
26.2;0.7155459;15.339;0.014;0.002;0.001;0;0;
26.4;0.7234583;15.339;0.014;0.002;0.001;0;0;
26.6;0.7283077;15.336;0.014;0.002;0.001;0;0;
