Time;Leakrate;PS-He2;PS-V1;PS-V2;PS-V3;EV-He1;EV-He2;
[s];[1.0E-09];[Bar];[mBar];[mBar];[mBar];-;-;
11.4;0.4220792;0.004;0.022;0.002;0.001;0;0;
11.6;0.425709;0.007;0.022;0.002;0.001;0;0;
11.8;0.4333097;0.002;0.022;0.002;0.001;0;0;
12.0;0.4430119;0.002;0.021;0.002;0.001;0;0;
12.2;0.452121;0.007;0.021;0.002;0.001;0;0;
12.4;0.4601506;0.002;0.021;0.002;0.001;0;0;
12.6;0.463884;13.485;0.021;0.002;0.001;1;0;
12.8;0.4672857;14.918;0.020;0.002;0.001;1;0;
13.0;0.4702031;15.148;0.020;0.002;0.001;1;0;
13.2;0.4744888;15.202;0.020;0.002;0.001;1;0;
13.4;0.4810489;15.237;0.019;0.002;0.001;1;0;
13.6;0.4883755;15.256;0.019;0.002;0.001;1;0;
13.8;0.4951993;15.269;0.019;0.002;0.001;1;0;
14.0;0.4989539;15.271;0.019;0.002;0.001;1;0;
14.2;0.501718;15.289;0.019;0.002;0.001;1;0;
14.4;0.5043383;15.293;0.018;0.002;0.001;1;0;
14.6;0.508009;15.299;0.018;0.002;0.001;1;0;
14.8;0.513964;15.308;0.018;0.002;0.001;1;0;
15.0;0.5205257;15.310;0.018;0.002;0.001;1;0;
15.2;0.526872;15.317;0.018;0.002;0.001;1;0;
15.4;0.5320007;15.317;0.018;0.002;0.001;1;0;
15.6;0.5354215;15.321;0.017;0.002;0.001;1;0;
15.8;0.5383831;15.323;0.017;0.002;0.001;1;0;
16.0;0.5416693;15.323;0.017;0.002;0.001;1;0;
16.2;0.5460575;15.332;0.017;0.002;0.001;1;0;
16.4;0.5526161;15.332;0.017;0.002;0.001;1;0;
16.6;0.5609769;15.334;0.017;0.002;0.001;1;0;
16.8;0.567174;15.339;0.017;0.002;0.001;1;0;
17.0;0.5700138;15.339;0.017;0.002;0.001;1;0;
17.2;0.5719871;15.339;0.017;0.002;0.001;1;0;
17.4;0.5751483;15.339;0.016;0.002;0.001;1;0;
17.6;0.5799727;15.343;0.016;0.002;0.001;1;0;
17.8;0.5856895;15.343;0.016;0.002;0.001;1;0;
18.0;0.5938402;15.347;0.016;0.002;0.001;1;0;
18.2;0.6003295;15.343;0.016;0.002;0.001;0;0;
18.4;0.6035655;15.349;0.016;0.002;0.001;0;0;
18.6;0.6064907;15.343;0.016;0.002;0.001;0;0;
18.8;0.6099222;15.345;0.016;0.002;0.001;0;0;
19.0;0.6141982;15.341;0.016;0.002;0.001;0;0;
19.2;0.6175873;15.343;0.016;0.002;0.001;0;0;
19.4;0.621232;15.345;0.016;0.002;0.001;0;0;
19.6;0.6242678;15.339;0.015;0.002;0.001;0;0;
19.8;0.6269135;15.339;0.015;0.002;0.001;0;0;
20.0;0.6288098;15.339;0.015;0.002;0.001;0;0;
20.2;0.6299191;15.341;0.015;0.002;0.001;0;0;
20.4;0.6318939;15.343;0.015;0.002;0.001;0;0;
20.6;0.6357482;15.341;0.015;0.002;0.001;0;0;
20.8;0.639805;15.339;0.015;0.002;0.001;0;0;
21.0;0.6434694;15.336;0.015;0.002;0.001;0;0;
21.2;0.6467518;15.339;0.015;0.002;0.001;0;0;
21.4;0.6490489;15.339;0.015;0.002;0.001;0;0;
21.6;0.6508519;15.339;0.015;0.002;0.001;0;0;
21.8;0.6564167;15.339;0.015;0.002;0.001;0;0;
22.0;0.6636239;15.339;0.015;0.002;0.001;0;0;
22.2;0.6699824;15.339;0.014;0.002;0.001;0;0;
22.4;0.6757132;15.339;0.014;0.002;0.001;0;0;
22.6;0.677838;15.339;0.014;0.002;0.001;0;0;
22.8;0.6791343;15.339;0.014;0.002;0.001;0;0;
23.0;0.6800821;15.339;0.014;0.002;0.001;0;0;
23.2;0.682502;15.339;0.014;0.002;0.001;0;0;
23.4;0.6862506;15.339;0.014;0.002;0.001;0;0;
23.6;0.6911287;15.339;0.014;0.002;0.001;0;0;
23.8;0.6992076;15.339;0.014;0.002;0.001;0;0;
24.0;0.7054747;15.339;0.014;0.002;0.001;0;0;
24.2;0.7073825;15.334;0.014;0.002;0.001;0;0;
24.4;0.7092636;15.339;0.014;0.002;0.001;0;0;
24.6;0.7119259;15.339;0.014;0.002;0.001;0;0;
24.8;0.7169915;15.339;0.014;0.002;0.001;0;0;
25.0;0.7246464;15.339;0.014;0.002;0.001;0;0;
25.2;0.7317056;15.339;0.014;0.002;0.001;0;0;
25.4;0.7348463;15.339;0.014;0.002;0.001;0;0;
25.6;0.7372909;15.339;0.014;0.002;0.001;0;0;
25.8;0.7394656;15.339;0.013;0.002;0.001;0;0;
26.0;0.7416652;15.339;0.013;0.002;0.001;0;0;
26.2;0.7449569;15.336;0.013;0.002;0.001;0;0;
26.4;0.7513388;15.336;0.013;0.002;0.001;0;0;
26.6;0.7586253;15.336;0.013;0.002;0.001;0;0;
26.8;0.7646697;15.339;0.013;0.002;0.001;0;0;
27.0;0.7683423;15.339;0.013;0.002;0.001;0;0;
27.2;0.7709126;15.339;0.013;0.002;0.001;0;0;
27.4;0.7737784;15.339;0.013;0.002;0.001;0;0;
27.6;0.7764864;15.339;0.013;0.002;0.001;0;0;
27.8;0.7816327;15.339;0.013;0.002;0.001;0;0;
28.0;0.7881455;15.336;0.013;0.002;0.001;0;0;
28.2;0.7919095;15.339;0.013;0.002;0.001;0;0;
28.4;0.7945729;15.339;0.013;0.002;0.001;0;0;
28.6;0.7971389;15.339;0.013;0.002;0.001;0;0;
28.8;0.7987429;15.339;0.013;0.002;0.001;0;0;
29.0;0.7999422;15.336;0.013;0.002;0.001;0;0;
29.2;0.8023548;15.336;0.013;0.002;0.001;0;0;
29.4;0.8073765;15.336;0.013;0.001;0.001;0;0;
29.6;0.814417;15.339;0.013;0.001;0.001;0;0;
29.8;0.8174928;15.334;0.012;0.001;0.001;0;0;
30.0;0.8196563;15.336;0.012;0.001;0.001;0;0;
30.2;0.8217738;15.334;0.012;0.001;0.001;0;0;
30.4;0.8246419;15.339;0.012;0.001;0.001;0;0;
30.6;0.8296629;15.339;0.012;0.001;0.001;0;0;
30.8;0.8374354;15.339;0.012;0.001;0.001;0;0;
31.0;0.8445655;15.334;0.012;0.001;0.001;0;0;
31.2;0.8472871;15.334;0.012;0.001;0.001;0;0;
31.4;0.8489917;15.334;0.012;0.001;0.001;0;0;
31.6;0.8501135;15.339;0.012;0.001;0.001;0;0;
31.8;0.8514338;15.332;0.012;0.001;0.001;0;0;
32.0;0.8543723;15.336;0.012;0.001;0.001;0;0;
32.2;0.8599886;15.339;0.012;0.001;0.001;0;0;
32.4;0.8671284;15.336;0.012;0.001;0.001;0;0;
32.6;0.8711544;15.339;0.012;0.001;0.001;0;0;
32.8;0.8732119;15.336;0.012;0.001;0.001;0;0;
33.0;0.8750998;15.332;0.012;0.001;0.001;0;0;
33.2;0.8764051;15.332;0.012;0.001;0.001;0;0;
33.4;0.8787705;15.336;0.012;0.001;0.001;0;0;
33.6;0.8832203;15.334;0.012;0.001;0.001;0;0;
33.8;0.8899261;15.339;0.012;0.001;0.001;0;0;
34.0;0.8960012;15.336;0.012;0.001;0.001;0;0;
34.2;0.8984984;15.334;0.012;0.001;0.001;0;0;
34.4;0.9001451;15.339;0.012;0.001;0.001;0;0;
34.6;0.9020042;15.332;0.012;0.001;0.001;0;0;
34.8;0.9051013;15.339;0.012;0.001;0.001;0;0;
