[Header]
Recipe;HDI
Name;HDI
Description;- serial setting for Hyundai
Date Time;26.03.2026 07:10:42
Position - Min [mm]/Max [mm]/Step Back [mm];4.0;8.0;3.0
Stabilization [s];40.0
Pressure - Init [Bar]/Dev [Bar];4.0;0.005
SDM Current - Hold [mA]/Pull [mA];3000;12000
SDM PullIn Time [us];1400
SDM [rpm];900
SDM Opening Time [ms];10
SDM Click Time [ms];6000
Power Supply - Voltage [V]/Current [A];24.0;2.0
Aeff - Target [mm2]/Offset [mm2]/Min [mm2]/Max [mm2]/Offset Max [mm2];11.700;0.000;11.466;11.934;0.800
Aeff from Meas [active];1
Error - Status/Code/Source;0;0;

[Results]
Pressure Atm [bar];1.0109
Temperature [C];24.0171
Temperature Gas [C];23.9650
Aeff Pre-Adj1 [mm2];12.3033
Aeff Pre-Adj2 [mm2];12.0539
Aeff Pre-Adj Diff [mm2];0.2494
Aeff Calc Final [mm2];11.7611
Aeff Meas Final [mm2];11.7263

[Measurement]
Time;Aeff Target;Aeff Calc Actual;Aeff Meas Actual;Aeff Target Step;Force;Position;Pressure S1;Pressure S2;Pressure S3;Pressure S4;Flow Calc;Flow Meas
[s];[mm2];[mm2];[mm2];[mm2];[N];[mm];[Bar];[Bar];[Bar];[Bar];[g/s];[g/s]
0.00;11.700;NaN;0.375;11.700;11.846;3.999;3.205;-0.013;0.009;-0.014;NaN;0.028
0.02;11.700;NaN;0.376;11.700;11.846;3.999;3.205;-0.013;0.009;-0.014;NaN;0.028
0.04;11.700;NaN;0.375;11.700;11.846;3.999;3.205;-0.013;0.009;-0.014;NaN;0.028
0.06;11.700;NaN;0.375;11.700;11.846;3.999;3.205;-0.013;0.009;-0.014;NaN;0.028
0.08;11.700;NaN;0.374;11.700;11.846;3.999;3.205;-0.013;0.009;-0.014;NaN;0.028
0.10;11.700;NaN;0.373;11.700;11.846;3.999;3.205;-0.013;0.009;-0.014;NaN;0.028
0.12;11.700;NaN;0.372;11.700;11.805;3.999;3.205;-0.012;0.009;-0.015;NaN;0.028
0.14;11.700;NaN;0.372;11.700;11.805;3.999;3.205;-0.012;0.009;-0.015;NaN;0.028
0.16;11.700;NaN;0.371;11.700;11.805;3.999;3.205;-0.012;0.009;-0.015;NaN;0.028
0.18;11.700;NaN;0.371;11.700;11.805;3.999;3.205;-0.012;0.009;-0.015;NaN;0.028
0.20;11.700;NaN;0.370;11.700;11.805;3.999;3.205;-0.012;0.009;-0.015;NaN;0.028
0.22;11.700;NaN;0.369;11.700;11.805;3.999;3.205;-0.012;0.009;-0.015;NaN;0.028
0.24;11.700;NaN;0.369;11.700;11.805;3.999;3.205;-0.013;0.009;-0.015;NaN;0.028
0.26;11.700;NaN;0.370;11.700;11.939;3.999;3.205;-0.012;0.009;-0.015;NaN;0.028
0.28;11.700;NaN;0.372;11.700;11.939;3.999;3.205;-0.012;0.009;-0.015;NaN;0.028
0.30;11.700;NaN;0.372;11.700;11.939;3.999;3.205;-0.012;0.009;-0.015;NaN;0.028
0.32;11.700;NaN;0.372;11.700;11.939;3.999;3.205;-0.012;0.009;-0.015;NaN;0.028
0.34;11.700;NaN;0.370;11.700;11.939;3.999;3.205;-0.012;0.009;-0.015;NaN;0.028
0.36;11.700;NaN;0.369;11.700;11.939;3.999;3.205;-0.012;0.009;-0.015;NaN;0.028
0.38;11.700;NaN;0.367;11.700;11.939;3.999;3.205;-0.012;0.009;-0.015;NaN;0.028
0.40;11.700;NaN;0.367;11.700;12.058;3.999;3.205;-0.012;0.009;-0.015;NaN;0.028
0.42;11.700;NaN;0.367;11.700;12.058;3.999;3.205;-0.012;0.009;-0.015;NaN;0.028
0.44;11.700;NaN;0.367;11.700;12.058;3.999;3.205;-0.012;0.009;-0.015;NaN;0.028
0.46;11.700;NaN;0.368;11.700;12.058;3.999;3.205;-0.012;0.009;-0.015;NaN;0.028
