[Header]
Recipe;HDI
Name;HDI
Description;- serial setting for Hyundai
Date Time;26.03.2026 07:14:34
Position - Min [mm]/Max [mm]/Step Back [mm];4.0;8.0;3.0
Stabilization [s];40.0
Pressure - Init [Bar]/Dev [Bar];4.0;0.005
SDM Current - Hold [mA]/Pull [mA];3000;12000
SDM PullIn Time [us];1400
SDM [rpm];900
SDM Opening Time [ms];10
SDM Click Time [ms];6000
Power Supply - Voltage [V]/Current [A];24.0;2.0
Aeff - Target [mm2]/Offset [mm2]/Min [mm2]/Max [mm2]/Offset Max [mm2];11.700;0.000;11.466;11.934;0.800
Aeff from Meas [active];1
Error - Status/Code/Source;0;0;

[Results]
Pressure Atm [bar];1.0109
Temperature [C];24.2255
Temperature Gas [C];23.9762
Aeff Pre-Adj1 [mm2];12.1857
Aeff Pre-Adj2 [mm2];12.0638
Aeff Pre-Adj Diff [mm2];0.1220
Aeff Calc Final [mm2];11.7820
Aeff Meas Final [mm2];11.7374

[Measurement]
Time;Aeff Target;Aeff Calc Actual;Aeff Meas Actual;Aeff Target Step;Force;Position;Pressure S1;Pressure S2;Pressure S3;Pressure S4;Flow Calc;Flow Meas
[s];[mm2];[mm2];[mm2];[mm2];[N];[mm];[Bar];[Bar];[Bar];[Bar];[g/s];[g/s]
0.00;11.700;NaN;0.316;11.700;13.349;4.007;3.202;-0.013;0.010;-0.015;NaN;0.024
0.02;11.700;NaN;0.315;11.700;13.349;4.007;3.201;-0.013;0.010;-0.015;NaN;0.024
0.04;11.700;NaN;0.315;11.700;13.349;4.007;3.201;-0.013;0.010;-0.015;NaN;0.024
0.06;11.700;NaN;0.315;11.700;13.349;4.007;3.201;-0.013;0.010;-0.015;NaN;0.024
0.08;11.700;NaN;0.315;11.700;13.514;4.007;3.201;-0.013;0.010;-0.015;NaN;0.024
0.10;11.700;NaN;0.315;11.700;13.514;4.007;3.201;-0.013;0.010;-0.015;NaN;0.024
0.12;11.700;NaN;0.316;11.700;13.514;4.007;3.202;-0.013;0.010;-0.014;NaN;0.024
0.14;11.700;NaN;0.317;11.700;13.514;4.007;3.202;-0.012;0.010;-0.014;NaN;0.024
0.16;11.700;NaN;0.317;11.700;13.514;4.007;3.202;-0.012;0.010;-0.014;NaN;0.024
